"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11207","login_jdd","webkit","2026-01-21","passed","2026-01-21","","login.jdd.spec.ts","",""
"","5307","login valid","firefox","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","1615","login invalid","chromium","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","2057","cartBtn fonctionne quand le badge est présent pour vérifier","webkit","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","6207","login valid","firefox","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","3274","cartBtn fonctionne quand le badge est présent pour vérifier","firefox","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","4948","Ouvrir la page de sauce demo","firefox","2026-01-21","passed","2026-01-21","","firsttest.spec.ts","",""
"","1066","login valid","webkit","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","2459","login invalid","webkit","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","1886","Add to cart","chromium","2026-01-21","passed","2026-01-21","","product.spec.ts","",""
"","2682","Ouvrir la page de sauce demo","webkit","2026-01-21","passed","2026-01-21","","firsttest.spec.ts","",""
"","3433","cartBtn pour naviguer aprés ajout","chromium","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","2678","login invalid","firefox","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","2586","cartBtn pour naviguer aprés ajout","webkit","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","1779","login valid","chromium","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","2529","Add to cart","webkit","2026-01-21","passed","2026-01-21","","product.spec.ts","",""
"","3990","cartBtn pour naviguer aprés ajout","firefox","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","8364","login_jdd","chromium","2026-01-21","passed","2026-01-21","","login.jdd.spec.ts","",""
"","7146","login invalid","firefox","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","1081","login invalid","chromium","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","2419","login valid","webkit","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","1535","login valid","chromium","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","3629","Add to cart","firefox","2026-01-21","passed","2026-01-21","","product.spec.ts","",""
"","17721","login_jdd","firefox","2026-01-21","passed","2026-01-21","","login.jdd.spec.ts","",""
"","2891","cartBtn fonctionne quand le badge est présent pour vérifier","chromium","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","2765","login invalid","webkit","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","1533","Ouvrir la page de sauce demo","chromium","2026-01-21","passed","2026-01-21","","firsttest.spec.ts","",""
